procurement_id,procurement_year,agency_code,agency_name,project_name,procurement_category,estimated_cost,actual_cost,procurement_method,vendor_code,vendor_name,contract_start_date,contract_end_date,procurement_status
100324,2020,AG26,Higher Education Commission,Hospital Equipment Purchase,Goods,11808265,13679728,Direct,V346,Vendor Company 346,12/14/2020,6/3/2021,Completed
100325,2018,AG27,Pakistan Customs,School Renovation Program,Works,329011,409660,Direct,V464,Vendor Company 464,1/13/2018,6/3/2018,Completed
100326,2019,AG18,Balochistan Health Department,Hospital Equipment Purchase,Goods,6677490,6809774,Open,V308,Vendor Company 308,8/15/2019,4/16/2020,Completed
100327,2018,AG22,National Highway Authority,Public Transport Improvement,Goods,18914100,,Open,V072,Vendor Company 72,2/9/2018,8/31/2018,Ongoing
100328,2021,AG09,Punjab Health Department,IT Infrastructure Upgrade,Goods,13206493,15203934,Open,V477,Vendor Company 477,3/5/2021,9/28/2021,Completed
100329,2022,AG25,Pakistan Post,Road Construction Project,Services,12025890,,Direct,V461,Vendor Company 461,7/10/2022,2/4/2023,Ongoing
100330,2020,AG12,Sindh Health Department,Road Construction Project,Works,4062048,4966893,Direct,V491,Vendor Company 491,3/18/2020,1/3/2021,Completed
100331,2019,AG12,Sindh Health Department,Power Grid Maintenance,Works,16927842,21971403,Direct,V499,Vendor Company 499,1/21/2019,7/24/2019,Completed
100332,2023,AG15,KPK Health Department,Hospital Equipment Purchase,Works,17186625,,Open,V010,Vendor Company 10,1/1/2023,6/16/2023,Ongoing
100333,2022,AG27,Pakistan Customs,Public Transport Improvement,Works,8166751,,Direct,V346,Vendor Company 346,7/22/2022,9/25/2022,Ongoing
100334,2019,AG13,Sindh Education Department,Road Construction Project,Works,11331953,12715825,Limited,V052,Vendor Company 52,5/3/2019,10/23/2019,Completed
100335,2022,AG09,Punjab Health Department,Hospital Equipment Purchase,Goods,11302980,12933041,Open,V496,Vendor Company 496,5/8/2022,2/8/2023,Completed
100336,2022,AG18,Balochistan Health Department,Hospital Equipment Purchase,Services,1860709,2416970,Direct,V211,Vendor Company 211,10/6/2022,12/23/2022,Completed
100337,2019,AG17,KPK Works Department,School Renovation Program,Goods,19277753,,Limited,V032,Vendor Company 32,4/25/2019,9/10/2019,Ongoing
100338,2024,AG27,Pakistan Customs,Public Transport Improvement,Goods,16066120,17144838,Open,V199,Vendor Company 199,1/4/2024,10/28/2024,Completed
100339,2023,AG03,Ministry of Education,Hospital Equipment Purchase,Works,4715328,4730821,Open,V289,Vendor Company 289,8/13/2023,4/8/2024,Completed
100340,2021,AG21,Capital Development Authority,Public Transport Improvement,Works,4742505,5225669,Limited,V496,Vendor Company 496,12/8/2021,8/30/2022,Completed
100341,2019,AG29,Election Commission,IT Infrastructure Upgrade,Goods,19333918,20921090,Direct,V414,Vendor Company 414,1/19/2019,7/1/2019,Completed
100342,2019,AG10,Punjab Education Department,Power Grid Maintenance,Goods,7336493,8724191,Limited,V276,Vendor Company 276,3/15/2019,12/1/2019,Completed
100343,2018,AG25,Pakistan Post,Road Construction Project,Services,5449834,,Open,V417,Vendor Company 417,4/28/2018,11/12/2018,Ongoing
100344,2024,AG18,Balochistan Health Department,Power Grid Maintenance,Goods,15106487,16763304,Limited,V134,Vendor Company 134,6/18/2024,12/17/2024,Completed
100345,2021,AG11,Punjab Works Department,Power Grid Maintenance,Services,10200707,,Open,V394,Vendor Company 394,3/17/2021,10/13/2021,Ongoing
100346,2024,AG27,Pakistan Customs,Power Grid Maintenance,Works,11303149,,Direct,V340,Vendor Company 340,1/13/2024,3/15/2024,Ongoing
100347,2020,AG30,National Database Authority,Hospital Equipment Purchase,Works,19450069,,Open,V218,Vendor Company 218,5/12/2020,8/16/2020,Ongoing
100348,2022,AG08,Ministry of Planning,School Renovation Program,Works,13863985,17722587,Direct,V182,Vendor Company 182,10/23/2022,3/20/2023,Completed
100349,2022,AG30,National Database Authority,Hospital Equipment Purchase,Works,3615832,3724678,Limited,V001,Vendor Company 1,2/4/2022,4/10/2022,Completed
100350,2023,AG19,Balochistan Education Department,Public Transport Improvement,Services,11497714,13506350,Limited,V139,Vendor Company 139,4/15/2023,9/20/2023,Completed
100351,2021,AG23,WAPDA,Power Grid Maintenance,Works,12363376,13533156,Direct,V161,Vendor Company 161,1/14/2021,9/19/2021,Completed
100352,2019,AG16,KPK Education Department,Hospital Equipment Purchase,Services,18268658,21260774,Limited,V421,Vendor Company 421,9/21/2019,5/1/2020,Completed
100353,2019,AG12,Sindh Health Department,Power Grid Maintenance,Works,9660320,11740968,Limited,V170,Vendor Company 170,4/12/2019,9/11/2019,Completed
100354,2022,AG22,National Highway Authority,IT Infrastructure Upgrade,Services,19615093,22122566,Direct,V063,Vendor Company 63,11/6/2022,3/10/2023,Completed
100355,2021,AG21,Capital Development Authority,Hospital Equipment Purchase,Services,5867580,6049242,Open,V064,Vendor Company 64,10/16/2021,3/13/2022,Completed
100356,2020,AG15,KPK Health Department,Public Transport Improvement,Works,1816351,,Open,V088,Vendor Company 88,8/16/2020,12/22/2020,Ongoing
100357,2018,AG06,Ministry of IT,Hospital Equipment Purchase,Works,15699941,,Open,V206,Vendor Company 206,3/28/2018,11/20/2018,Ongoing
100358,2024,AG13,Sindh Education Department,Public Transport Improvement,Goods,15653839,20204470,Limited,V227,Vendor Company 227,3/17/2024,8/19/2024,Completed
100359,2022,AG01,Ministry of Health,Public Transport Improvement,Works,19063061,23539909,Limited,V313,Vendor Company 313,4/27/2022,1/7/2023,Completed
100360,2023,AG28,Federal Board of Revenue,Hospital Equipment Purchase,Services,4460094,4455777,Open,V353,Vendor Company 353,9/27/2023,5/10/2024,Completed
100361,2020,AG26,Higher Education Commission,Power Grid Maintenance,Goods,347381,321570,Direct,V377,Vendor Company 377,6/13/2020,2/9/2021,Completed
100362,2019,AG16,KPK Education Department,School Renovation Program,Works,9279291,,Open,V034,Vendor Company 34,8/25/2019,11/14/2019,Ongoing
100363,2018,AG05,Ministry of Energy,Hospital Equipment Purchase,Works,14527297,17854174,Open,V160,Vendor Company 160,12/3/2018,2/7/2019,Completed
100364,2021,AG30,National Database Authority,Power Grid Maintenance,Services,5094700,6401299,Open,V450,Vendor Company 450,4/16/2021,1/14/2022,Completed
100365,2022,AG16,KPK Education Department,IT Infrastructure Upgrade,Goods,18330245,23171887,Direct,V226,Vendor Company 226,11/19/2022,5/8/2023,Completed
100366,2023,AG01,Ministry of Health,School Renovation Program,Works,9028477,,Open,V437,Vendor Company 437,6/1/2023,1/11/2024,Ongoing
100367,2019,AG14,Sindh Works Department,Hospital Equipment Purchase,Services,10727948,12333863,Open,V370,Vendor Company 370,3/3/2019,7/20/2019,Completed
100368,2021,AG25,Pakistan Post,Public Transport Improvement,Services,7848654,8127179,Limited,V343,Vendor Company 343,7/20/2021,2/27/2022,Completed
100369,2018,AG23,WAPDA,School Renovation Program,Works,2033511,2521231,Limited,V463,Vendor Company 463,8/9/2018,3/31/2019,Completed
100370,2020,AG07,Ministry of Housing,School Renovation Program,Goods,11895526,,Direct,V046,Vendor Company 46,10/9/2020,1/2/2021,Ongoing
100371,2023,AG01,Ministry of Health,Public Transport Improvement,Works,7386427,,Direct,V366,Vendor Company 366,2/15/2023,6/19/2023,Ongoing
100372,2018,AG18,Balochistan Health Department,Power Grid Maintenance,Works,5558690,6481467,Limited,V435,Vendor Company 435,12/8/2018,4/8/2019,Completed
100373,2019,AG15,KPK Health Department,Power Grid Maintenance,Goods,12431315,14292757,Limited,V308,Vendor Company 308,2/9/2019,5/1/2019,Completed
100374,2021,AG14,Sindh Works Department,Power Grid Maintenance,Services,6590120,8415876,Open,V287,Vendor Company 287,9/27/2021,7/23/2022,Completed
100375,2022,AG09,Punjab Health Department,Road Construction Project,Works,17307826,,Open,V287,Vendor Company 287,5/20/2022,1/15/2023,Ongoing
100376,2020,AG02,Ministry of Finance,School Renovation Program,Services,14498952,,Direct,V103,Vendor Company 103,8/17/2020,3/9/2021,Ongoing
100377,2023,AG15,KPK Health Department,School Renovation Program,Works,3311563,3411657,Open,V164,Vendor Company 164,6/1/2023,10/28/2023,Completed
100378,2024,AG13,Sindh Education Department,IT Infrastructure Upgrade,Services,2871412,3552373,Open,V303,Vendor Company 303,9/13/2024,4/9/2025,Completed
100379,2020,AG04,Ministry of Transport,IT Infrastructure Upgrade,Works,4457058,4778666,Direct,V374,Vendor Company 374,11/10/2020,8/30/2021,Completed
100380,2024,AG14,Sindh Works Department,Road Construction Project,Goods,12186580,15645807,Direct,V485,Vendor Company 485,10/17/2024,4/22/2025,Completed
100381,2019,AG23,WAPDA,Road Construction Project,Works,14682156,16376857,Direct,V304,Vendor Company 304,8/13/2019,5/13/2020,Completed
100382,2021,AG08,Ministry of Planning,Power Grid Maintenance,Works,7398240,,Limited,V451,Vendor Company 451,6/24/2021,3/16/2022,Ongoing
100383,2021,AG19,Balochistan Education Department,Road Construction Project,Goods,2192016,,Limited,V393,Vendor Company 393,4/26/2021,9/20/2021,Ongoing
100384,2022,AG14,Sindh Works Department,Public Transport Improvement,Works,14288083,14328942,Open,V101,Vendor Company 101,10/27/2022,5/18/2023,Completed
100385,2018,AG20,Balochistan Planning Dept,IT Infrastructure Upgrade,Works,15819863,,Open,V392,Vendor Company 392,3/11/2018,10/26/2018,Ongoing
100386,2018,AG19,Balochistan Education Department,IT Infrastructure Upgrade,Services,14140727,16269567,Direct,V281,Vendor Company 281,8/2/2018,11/29/2018,Completed
100387,2023,AG03,Ministry of Education,Power Grid Maintenance,Works,16473459,,Limited,V129,Vendor Company 129,3/7/2023,9/22/2023,Ongoing
100388,2018,AG12,Sindh Health Department,Road Construction Project,Works,3117016,,Open,V314,Vendor Company 314,10/24/2018,1/16/2019,Ongoing
100389,2020,AG27,Pakistan Customs,Power Grid Maintenance,Goods,17441354,19923524,Limited,V030,Vendor Company 30,5/2/2020,1/4/2021,Completed
100390,2020,AG08,Ministry of Planning,Public Transport Improvement,Services,3773918,4388052,Limited,V174,Vendor Company 174,6/19/2020,9/6/2020,Completed
100391,2018,AG22,National Highway Authority,School Renovation Program,Goods,2727588,,Limited,V169,Vendor Company 169,11/23/2018,9/18/2019,Ongoing
100392,2021,AG22,National Highway Authority,IT Infrastructure Upgrade,Works,12097831,,Limited,V495,Vendor Company 495,4/17/2021,7/28/2021,Ongoing
100393,2024,AG25,Pakistan Post,IT Infrastructure Upgrade,Goods,8878836,,Limited,V469,Vendor Company 469,5/8/2024,8/17/2024,Ongoing
100394,2022,AG01,Ministry of Health,Public Transport Improvement,Works,15341523,16583686,Direct,V044,Vendor Company 44,2/5/2022,5/4/2022,Completed
100395,2018,AG24,Pakistan Railways,Power Grid Maintenance,Services,12061008,12265255,Limited,V205,Vendor Company 205,6/23/2018,3/26/2019,Completed
100396,2019,AG19,Balochistan Education Department,Road Construction Project,Services,14690009,18590146,Limited,V483,Vendor Company 483,5/25/2019,1/6/2020,Completed
100397,2024,AG28,Federal Board of Revenue,Power Grid Maintenance,Works,1137795,,Limited,V336,Vendor Company 336,11/7/2024,6/11/2025,Ongoing
100398,2020,AG02,Ministry of Finance,School Renovation Program,Goods,1278597,1510029,Open,V417,Vendor Company 417,9/12/2020,6/28/2021,Completed
100399,2023,AG17,KPK Works Department,Public Transport Improvement,Goods,6185754,7058562,Open,V373,Vendor Company 373,4/22/2023,6/27/2023,Completed
100400,2022,AG14,Sindh Works Department,Power Grid Maintenance,Services,712360,859912,Limited,V092,Vendor Company 92,7/26/2022,1/2/2023,Completed
100401,2024,AG07,Ministry of Housing,Road Construction Project,Services,13975190,15908856,Limited,V245,Vendor Company 245,12/9/2024,6/2/2025,Completed
100402,2018,AG03,Ministry of Education,Hospital Equipment Purchase,Goods,19242715,23050518,Limited,V486,Vendor Company 486,7/2/2018,2/20/2019,Completed
100403,2023,AG21,Capital Development Authority,Power Grid Maintenance,Works,14541145,,Limited,V391,Vendor Company 391,8/13/2023,5/15/2024,Ongoing
100404,2023,AG15,KPK Health Department,Power Grid Maintenance,Goods,1960426,1912770,Direct,V030,Vendor Company 30,8/15/2023,2/26/2024,Completed
100405,2022,AG17,KPK Works Department,Public Transport Improvement,Services,12161919,14827266,Direct,V076,Vendor Company 76,11/27/2022,4/1/2023,Completed
100406,2018,AG15,KPK Health Department,School Renovation Program,Services,6928621,,Direct,V490,Vendor Company 490,5/13/2018,2/15/2019,Ongoing
100407,2018,AG13,Sindh Education Department,Hospital Equipment Purchase,Goods,19385202,24360446,Direct,V179,Vendor Company 179,10/19/2018,7/9/2019,Completed
100408,2022,AG29,Election Commission,Road Construction Project,Goods,3770234,4525712,Direct,V326,Vendor Company 326,8/10/2022,11/6/2022,Completed
100409,2018,AG21,Capital Development Authority,Power Grid Maintenance,Works,7136402,7610649,Open,V166,Vendor Company 166,2/8/2018,6/19/2018,Completed
100410,2024,AG12,Sindh Health Department,School Renovation Program,Goods,9113495,9724350,Direct,V213,Vendor Company 213,11/24/2024,8/30/2025,Completed
100411,2021,AG14,Sindh Works Department,IT Infrastructure Upgrade,Works,13385681,13891951,Open,V458,Vendor Company 458,12/6/2021,3/15/2022,Completed
100412,2019,AG09,Punjab Health Department,Public Transport Improvement,Works,6541751,,Limited,V137,Vendor Company 137,12/13/2019,3/15/2020,Ongoing
100413,2020,AG19,Balochistan Education Department,IT Infrastructure Upgrade,Works,7908071,8695712,Open,V043,Vendor Company 43,11/23/2020,5/19/2021,Completed
100414,2021,AG23,WAPDA,Public Transport Improvement,Works,19146984,,Direct,V307,Vendor Company 307,10/1/2021,1/10/2022,Ongoing
100415,2023,AG05,Ministry of Energy,Power Grid Maintenance,Goods,13483090,17437598,Open,V249,Vendor Company 249,1/16/2023,5/15/2023,Completed
100416,2024,AG03,Ministry of Education,School Renovation Program,Works,14222198,18010554,Direct,V207,Vendor Company 207,1/10/2024,7/27/2024,Completed
100417,2023,AG28,Federal Board of Revenue,School Renovation Program,Goods,6742474,,Open,V037,Vendor Company 37,8/14/2023,11/18/2023,Ongoing
100418,2021,AG05,Ministry of Energy,Hospital Equipment Purchase,Works,13521322,13838255,Direct,V298,Vendor Company 298,4/5/2021,9/3/2021,Completed
100419,2019,AG01,Ministry of Health,Power Grid Maintenance,Services,15229080,,Direct,V402,Vendor Company 402,8/1/2019,2/7/2020,Ongoing
100420,2019,AG05,Ministry of Energy,Public Transport Improvement,Goods,11874201,,Direct,V242,Vendor Company 242,8/11/2019,10/17/2019,Ongoing
100421,2019,AG11,Punjab Works Department,IT Infrastructure Upgrade,Services,16096449,17749398,Direct,V050,Vendor Company 50,12/7/2019,3/11/2020,Completed
100422,2018,AG22,National Highway Authority,Hospital Equipment Purchase,Services,8838510,,Open,V301,Vendor Company 301,2/12/2018,8/22/2018,Ongoing
100423,2024,AG15,KPK Health Department,Hospital Equipment Purchase,Works,4141061,4220737,Limited,V090,Vendor Company 90,5/5/2024,2/24/2025,Completed
100424,2019,AG03,Ministry of Education,Hospital Equipment Purchase,Works,938379,1166429,Direct,V045,Vendor Company 45,10/11/2019,7/28/2020,Completed
100425,2024,AG19,Balochistan Education Department,Power Grid Maintenance,Goods,1823706,2056246,Limited,V307,Vendor Company 307,7/20/2024,3/6/2025,Completed
100426,2018,AG26,Higher Education Commission,Public Transport Improvement,Goods,10182447,12956359,Direct,V219,Vendor Company 219,9/10/2018,12/6/2018,Completed
100427,2019,AG26,Higher Education Commission,IT Infrastructure Upgrade,Services,8615435,11190419,Open,V220,Vendor Company 220,7/25/2019,11/4/2019,Completed
100428,2021,AG10,Punjab Education Department,IT Infrastructure Upgrade,Services,2129951,2148556,Limited,V459,Vendor Company 459,9/6/2021,1/11/2022,Completed
100429,2021,AG05,Ministry of Energy,Road Construction Project,Works,19620501,20611240,Open,V073,Vendor Company 73,3/3/2021,12/7/2021,Completed
100430,2019,AG21,Capital Development Authority,Hospital Equipment Purchase,Services,19686502,21450805,Direct,V126,Vendor Company 126,9/14/2019,6/27/2020,Completed
100431,2018,AG16,KPK Education Department,Road Construction Project,Works,13025103,13477278,Open,V317,Vendor Company 317,10/15/2018,6/22/2019,Completed
100432,2019,AG18,Balochistan Health Department,IT Infrastructure Upgrade,Goods,9629359,12396424,Direct,V146,Vendor Company 146,5/26/2019,12/31/2019,Completed
100433,2021,AG02,Ministry of Finance,Hospital Equipment Purchase,Goods,18265313,23589581,Limited,V247,Vendor Company 247,1/19/2021,9/17/2021,Completed
100434,2024,AG25,Pakistan Post,Power Grid Maintenance,Services,3725069,4835229,Limited,V282,Vendor Company 282,8/18/2024,2/12/2025,Completed
100435,2018,AG02,Ministry of Finance,School Renovation Program,Works,7869846,9690533,Limited,V488,Vendor Company 488,1/22/2018,7/23/2018,Completed
100436,2022,AG04,Ministry of Transport,Public Transport Improvement,Goods,15698919,,Direct,V291,Vendor Company 291,2/3/2022,8/4/2022,Ongoing
100437,2019,AG03,Ministry of Education,Road Construction Project,Goods,19196181,23906771,Direct,V325,Vendor Company 325,12/5/2019,7/30/2020,Completed
100438,2020,AG29,Election Commission,Hospital Equipment Purchase,Goods,16438974,,Limited,V119,Vendor Company 119,9/8/2020,4/7/2021,Ongoing
100439,2019,AG07,Ministry of Housing,Public Transport Improvement,Works,9606583,,Open,V271,Vendor Company 271,2/6/2019,5/29/2019,Ongoing
100440,2019,AG12,Sindh Health Department,School Renovation Program,Services,5467606,5518679,Open,V358,Vendor Company 358,7/5/2019,1/1/2020,Completed
100441,2023,AG25,Pakistan Post,Hospital Equipment Purchase,Services,143858,166426,Direct,V398,Vendor Company 398,10/6/2023,1/23/2024,Completed
100442,2023,AG18,Balochistan Health Department,IT Infrastructure Upgrade,Works,4136844,,Limited,V163,Vendor Company 163,1/26/2023,9/30/2023,Ongoing
100443,2019,AG27,Pakistan Customs,Public Transport Improvement,Works,3735946,4423789,Direct,V101,Vendor Company 101,4/13/2019,12/11/2019,Completed
100444,2024,AG01,Ministry of Health,IT Infrastructure Upgrade,Services,10507777,,Open,V341,Vendor Company 341,7/20/2024,4/24/2025,Ongoing
100445,2022,AG07,Ministry of Housing,Road Construction Project,Works,8875731,11434984,Limited,V271,Vendor Company 271,5/3/2022,7/7/2022,Completed
100446,2024,AG02,Ministry of Finance,Public Transport Improvement,Works,17059067,18859832,Open,V277,Vendor Company 277,12/20/2024,3/13/2025,Completed
100447,2021,AG23,WAPDA,Road Construction Project,Services,899735,985007,Limited,V213,Vendor Company 213,6/12/2021,8/16/2021,Completed
100448,2021,AG27,Pakistan Customs,Public Transport Improvement,Goods,3647347,4079124,Direct,V500,Vendor Company 500,9/13/2021,5/3/2022,Completed
100449,2023,AG05,Ministry of Energy,School Renovation Program,Goods,9795600,12384465,Direct,V087,Vendor Company 87,1/2/2023,8/15/2023,Completed
100450,2018,AG12,Sindh Health Department,Power Grid Maintenance,Services,1859021,2336564,Direct,V289,Vendor Company 289,5/2/2018,10/1/2018,Completed
100451,2019,AG03,Ministry of Education,Public Transport Improvement,Services,12709283,16384160,Direct,V447,Vendor Company 447,9/28/2019,6/29/2020,Completed
100452,2023,AG13,Sindh Education Department,IT Infrastructure Upgrade,Works,16852956,21679566,Direct,V116,Vendor Company 116,6/11/2023,11/10/2023,Completed
100453,2019,AG21,Capital Development Authority,Public Transport Improvement,Works,19188847,,Open,V306,Vendor Company 306,2/1/2019,9/18/2019,Ongoing
100454,2021,AG06,Ministry of IT,IT Infrastructure Upgrade,Works,4708127,5368327,Limited,V421,Vendor Company 421,11/27/2021,7/22/2022,Completed
100455,2023,AG09,Punjab Health Department,Hospital Equipment Purchase,Goods,3294712,4133562,Limited,V019,Vendor Company 19,8/14/2023,4/6/2024,Completed
100456,2022,AG22,National Highway Authority,Road Construction Project,Works,12438313,14252158,Direct,V462,Vendor Company 462,11/12/2022,3/25/2023,Completed
100457,2022,AG18,Balochistan Health Department,Road Construction Project,Services,16078065,18644325,Direct,V102,Vendor Company 102,10/9/2022,7/25/2023,Completed
100458,2022,AG29,Election Commission,Power Grid Maintenance,Goods,9703905,10349880,Limited,V467,Vendor Company 467,12/22/2022,5/22/2023,Completed
100459,2024,AG26,Higher Education Commission,School Renovation Program,Goods,19381554,,Direct,V046,Vendor Company 46,8/2/2024,2/5/2025,Ongoing
100460,2023,AG24,Pakistan Railways,Road Construction Project,Services,17627618,,Limited,V342,Vendor Company 342,11/15/2023,5/12/2024,Ongoing
100461,2022,AG02,Ministry of Finance,Power Grid Maintenance,Services,10437880,11599233,Direct,V369,Vendor Company 369,1/21/2022,5/16/2022,Completed
100462,2019,AG27,Pakistan Customs,IT Infrastructure Upgrade,Goods,7029866,7541258,Limited,V481,Vendor Company 481,9/24/2019,3/8/2020,Completed
100463,2020,AG03,Ministry of Education,Hospital Equipment Purchase,Works,11771763,13040452,Open,V324,Vendor Company 324,5/5/2020,8/22/2020,Completed
100464,2021,AG01,Ministry of Health,Public Transport Improvement,Services,19183562,21741008,Direct,V106,Vendor Company 106,3/24/2021,5/27/2021,Completed
100465,2024,AG12,Sindh Health Department,Hospital Equipment Purchase,Works,19608879,19838105,Limited,V479,Vendor Company 479,7/1/2024,11/16/2024,Completed
100466,2018,AG26,Higher Education Commission,Road Construction Project,Works,8401825,9370965,Limited,V376,Vendor Company 376,1/7/2018,6/22/2018,Completed
100467,2021,AG30,National Database Authority,Public Transport Improvement,Goods,1546212,,Open,V373,Vendor Company 373,5/13/2021,11/28/2021,Ongoing
100468,2021,AG12,Sindh Health Department,IT Infrastructure Upgrade,Services,11771870,,Limited,V095,Vendor Company 95,4/28/2021,2/17/2022,Ongoing
100469,2019,AG11,Punjab Works Department,Road Construction Project,Services,5825043,,Direct,V367,Vendor Company 367,7/23/2019,12/22/2019,Ongoing
100470,2020,AG12,Sindh Health Department,Public Transport Improvement,Goods,10300920,,Limited,V146,Vendor Company 146,1/28/2020,8/20/2020,Ongoing
100471,2021,AG29,Election Commission,School Renovation Program,Works,13288248,15639946,Limited,V482,Vendor Company 482,11/5/2021,3/30/2022,Completed
100472,2021,AG19,Balochistan Education Department,School Renovation Program,Services,17256679,20757112,Limited,V051,Vendor Company 51,5/13/2021,11/26/2021,Completed
100473,2023,AG06,Ministry of IT,Power Grid Maintenance,Services,14140980,,Limited,V437,Vendor Company 437,5/21/2023,12/11/2023,Ongoing
100474,2018,AG01,Ministry of Health,Hospital Equipment Purchase,Goods,17481642,17561500,Limited,V131,Vendor Company 131,11/10/2018,2/24/2019,Completed
100475,2018,AG20,Balochistan Planning Dept,School Renovation Program,Works,12462537,,Limited,V388,Vendor Company 388,3/12/2018,5/29/2018,Ongoing
100476,2021,AG27,Pakistan Customs,Public Transport Improvement,Works,16593761,17225330,Direct,V073,Vendor Company 73,3/22/2021,6/15/2021,Completed
100477,2020,AG11,Punjab Works Department,IT Infrastructure Upgrade,Goods,4827133,,Open,V366,Vendor Company 366,11/9/2020,7/14/2021,Ongoing
100478,2018,AG22,National Highway Authority,Public Transport Improvement,Works,16426231,,Direct,V189,Vendor Company 189,12/19/2018,5/23/2019,Ongoing
100479,2021,AG16,KPK Education Department,Road Construction Project,Services,16634018,,Direct,V275,Vendor Company 275,2/4/2021,9/17/2021,Ongoing
100480,2023,AG04,Ministry of Transport,School Renovation Program,Services,10106866,11881957,Direct,V332,Vendor Company 332,7/17/2023,3/17/2024,Completed
100481,2023,AG11,Punjab Works Department,School Renovation Program,Works,14776158,15361120,Direct,V478,Vendor Company 478,8/10/2023,12/21/2023,Completed
100482,2021,AG08,Ministry of Planning,Power Grid Maintenance,Services,5920705,5948976,Limited,V064,Vendor Company 64,7/12/2021,4/7/2022,Completed
100483,2020,AG17,KPK Works Department,IT Infrastructure Upgrade,Services,18622588,20374593,Open,V312,Vendor Company 312,6/27/2020,11/5/2020,Completed
100484,2021,AG11,Punjab Works Department,Power Grid Maintenance,Works,15373402,17891781,Limited,V302,Vendor Company 302,12/18/2021,10/3/2022,Completed
100485,2021,AG21,Capital Development Authority,Road Construction Project,Goods,4048699,4647233,Open,V227,Vendor Company 227,4/19/2021,10/5/2021,Completed
100486,2019,AG28,Federal Board of Revenue,Road Construction Project,Works,2199040,2517524,Limited,V171,Vendor Company 171,9/10/2019,5/23/2020,Completed
100487,2023,AG22,National Highway Authority,School Renovation Program,Goods,19871386,21584308,Open,V250,Vendor Company 250,11/20/2023,8/9/2024,Completed
100488,2022,AG26,Higher Education Commission,IT Infrastructure Upgrade,Services,19772408,,Direct,V030,Vendor Company 30,9/27/2022,12/4/2022,Ongoing
100489,2018,AG14,Sindh Works Department,Public Transport Improvement,Goods,14672232,17604324,Direct,V313,Vendor Company 313,10/12/2018,2/16/2019,Completed
100490,2024,AG07,Ministry of Housing,Road Construction Project,Services,12139379,14602675,Direct,V331,Vendor Company 331,2/23/2024,6/20/2024,Completed
100491,2023,AG04,Ministry of Transport,Hospital Equipment Purchase,Works,16994727,,Direct,V348,Vendor Company 348,9/18/2023,1/30/2024,Ongoing
100492,2019,AG24,Pakistan Railways,Road Construction Project,Goods,2860245,3671705,Direct,V469,Vendor Company 469,11/3/2019,3/4/2020,Completed
100493,2021,AG29,Election Commission,School Renovation Program,Services,7635083,9795795,Open,V004,Vendor Company 4,5/7/2021,1/1/2022,Completed
100494,2024,AG24,Pakistan Railways,Hospital Equipment Purchase,Works,15135101,15426091,Direct,V466,Vendor Company 466,10/16/2024,6/12/2025,Completed
100495,2021,AG19,Balochistan Education Department,Public Transport Improvement,Works,2567742,,Direct,V267,Vendor Company 267,6/26/2021,4/12/2022,Ongoing
100496,2023,AG01,Ministry of Health,Power Grid Maintenance,Works,11961097,13357035,Limited,V367,Vendor Company 367,8/13/2023,12/22/2023,Completed
100497,2024,AG22,National Highway Authority,Road Construction Project,Goods,4396606,4355278,Open,V329,Vendor Company 329,8/11/2024,2/19/2025,Completed
100498,2020,AG21,Capital Development Authority,Hospital Equipment Purchase,Works,13791658,15129719,Limited,V316,Vendor Company 316,8/28/2020,11/29/2020,Completed
100499,2018,AG20,Balochistan Planning Dept,Hospital Equipment Purchase,Goods,5093265,5644817,Open,V312,Vendor Company 312,7/18/2018,11/4/2018,Completed
100500,2020,AG27,Pakistan Customs,IT Infrastructure Upgrade,Works,14334840,18513760,Limited,V391,Vendor Company 391,6/18/2020,10/6/2020,Completed
100501,2021,AG04,Ministry of Transport,IT Infrastructure Upgrade,Works,4947026,5947632,Open,V260,Vendor Company 260,6/20/2021,3/22/2022,Completed
100502,2018,AG27,Pakistan Customs,IT Infrastructure Upgrade,Services,5519548,6300944,Open,V284,Vendor Company 284,7/23/2018,2/3/2019,Completed
100503,2020,AG19,Balochistan Education Department,School Renovation Program,Goods,4149372,4641586,Open,V336,Vendor Company 336,12/3/2020,6/7/2021,Completed
100504,2020,AG25,Pakistan Post,IT Infrastructure Upgrade,Goods,13442829,16321979,Open,V060,Vendor Company 60,1/22/2020,6/30/2020,Completed
100505,2021,AG20,Balochistan Planning Dept,Hospital Equipment Purchase,Goods,14164657,16507314,Direct,V118,Vendor Company 118,1/16/2021,7/29/2021,Completed
100506,2021,AG15,KPK Health Department,Hospital Equipment Purchase,Works,7771092,,Direct,V189,Vendor Company 189,5/16/2021,1/15/2022,Ongoing
100507,2022,AG15,KPK Health Department,Power Grid Maintenance,Goods,11163069,,Direct,V120,Vendor Company 120,4/26/2022,10/12/2022,Ongoing
100508,2018,AG06,Ministry of IT,School Renovation Program,Goods,15950695,17673592,Direct,V113,Vendor Company 113,7/22/2018,3/23/2019,Completed
100509,2023,AG07,Ministry of Housing,School Renovation Program,Works,13387489,17038781,Direct,V384,Vendor Company 384,7/13/2023,12/14/2023,Completed
100510,2022,AG06,Ministry of IT,Public Transport Improvement,Services,18842263,23054975,Limited,V475,Vendor Company 475,7/23/2022,5/1/2023,Completed
