vendor_code,vendor_name,vendor_country,vendor_type
V0677,Vertex Engineering,Saudi Arabia,Supplier
V0678,Universal Industries,Japan,Contractor
V0679,NextGen International,International,Contractor
V0680,Infinity International,Saudi Arabia,Supplier
V0681,Apex Logistics,Malaysia,Supplier
V0682,Vertex Engineering,India,Supplier
V0683,National Industries,Qatar,Contractor
V0684,Pioneer Enterprises,Malaysia,Contractor
V0685,Dynamic International,Malaysia,Supplier
V0686,Prime Group,Turkey,Supplier
V0687,Global Systems,France,Supplier
V0688,Prime International,USA,Contractor
V0689,Universal Industries,India,Contractor
V0690,National Engineering,India,Contractor
V0691,Universal Corporation,Germany,Contractor
V0692,National Corporation,Australia,Supplier
V0693,Infinity Systems,UAE,Supplier
V0694,Elite Group,Italy,Supplier
V0695,Advanced Group,Spain,Contractor
V0696,Atlas Technologies,Germany,Supplier
V0697,Pioneer Services,Singapore,Contractor
V0698,Nova Systems,UAE,Supplier
V0699,Apex Technologies,USA,Supplier
V0700,Apex Group,Spain,Supplier
V0701,National Systems,China,Contractor
V0702,Advanced Industries,Saudi Arabia,Contractor
V0703,Global Engineering,Canada,Contractor
V0704,Infinity Solutions,China,Supplier
V0705,Apex Industries,India,Contractor
V0706,Apex International,Australia,Supplier
V0707,Vertex Technologies,France,Contractor
V0708,Elite Corporation,Saudi Arabia,Supplier
V0709,Dynamic Corporation,Netherlands,Contractor
V0710,Advanced Enterprises,France,Contractor
V0711,National International,Singapore,Supplier
V0712,Vertex Industries,Australia,Supplier
V0713,Universal Holdings,Saudi Arabia,Contractor
V0714,NextGen Technologies,Italy,Contractor
V0715,Infinity Enterprises,Germany,Supplier
V0716,Advanced Holdings,Germany,Supplier
V0717,Prime Enterprises,Italy,Contractor
V0718,Prime Industries,Malaysia,Contractor
V0719,Future Corporation,Spain,Contractor
V0720,Atlas Services,Italy,Contractor
V0721,Global Enterprises,UK,Supplier
V0722,Future Corporation,Spain,Contractor
V0723,Future Holdings,Netherlands,Contractor
V0724,Vertex International,Turkey,Supplier
V0725,National Industries,France,Contractor
V0726,Universal Solutions,France,Contractor
V0727,Prime Solutions,China,Supplier
V0728,Nova Services,South Korea,Contractor
V0729,National Services,Germany,Contractor
V0730,National Technologies,Saudi Arabia,Contractor
V0731,Pioneer Enterprises,India,Supplier
V0732,Vertex Services,Australia,Supplier
V0733,Pioneer Solutions,Germany,Supplier
V0734,National Solutions,Japan,Contractor
V0735,Atlas Services,China,Contractor
V0736,Nova Logistics,Singapore,Contractor
V0737,Advanced Services,Germany,Supplier
V0738,Elite Systems,Turkey,Contractor
V0739,Global Enterprises,International,Contractor
V0740,Global Group,UK,Contractor
V0741,Nova Holdings,Spain,Supplier
V0742,Atlas Services,France,Contractor
V0743,Future Engineering,International,Contractor
V0744,Universal Engineering,India,Supplier
V0745,Apex Solutions,Canada,Supplier
V0746,Future Engineering,Turkey,Supplier
V0747,NextGen Technologies,Australia,Contractor
V0748,Atlas Systems,Spain,Contractor
V0749,NextGen Systems,India,Supplier
V0750,Global Group,Germany,Contractor
V0751,Vertex International,India,Supplier
V0752,Apex Corporation,Japan,Supplier
V0753,Vertex Services,Singapore,Contractor
V0754,NextGen Corporation,Canada,Supplier
V0755,NextGen Systems,Italy,Supplier
V0756,Vertex Engineering,Qatar,Contractor
V0757,Global International,Germany,Contractor
V0758,Apex Enterprises,UK,Contractor
V0759,Vertex Enterprises,Turkey,Supplier
V0760,Prime Logistics,Netherlands,Supplier
V0761,Future Systems,Australia,Contractor
V0762,Dynamic Services,Qatar,Supplier
V0763,Vertex International,Qatar,Supplier
V0764,Pioneer Engineering,China,Contractor
V0765,Atlas Services,France,Contractor
V0766,Vertex Industries,UAE,Supplier
V0767,Future International,Italy,Supplier
V0768,Vertex Corporation,Germany,Supplier
V0769,Dynamic Corporation,China,Contractor
V0770,National Logistics,India,Supplier
V0771,NextGen Group,USA,Contractor
V0772,Nova Systems,Germany,Supplier
V0773,Apex Solutions,UAE,Supplier
V0774,Pioneer Services,China,Contractor
V0775,National Industries,Germany,Contractor
V0776,Advanced Industries,Spain,Contractor
V0777,Advanced Technologies,China,Supplier
V0778,Elite Corporation,South Korea,Contractor
V0779,Nova International,Australia,Supplier
V0780,Advanced Solutions,Qatar,Contractor
V0781,Advanced Industries,Singapore,Supplier
V0782,Apex International,South Korea,Contractor
V0783,Vertex Technologies,India,Contractor
V0784,Universal International,Japan,Contractor
V0785,United Industries,South Korea,Supplier
V0786,Atlas Industries,Spain,Supplier
V0787,Advanced Technologies,Turkey,Contractor
V0788,Prime Engineering,Netherlands,Contractor
V0789,Dynamic Enterprises,Germany,Contractor
V0790,Nova Engineering,South Korea,Supplier
V0791,Atlas International,Singapore,Supplier
V0792,Prime Systems,Australia,Contractor
V0793,Elite Corporation,Saudi Arabia,Supplier
V0794,Vertex Services,Netherlands,Supplier
V0795,Prime Industries,USA,Supplier
V0796,Advanced Engineering,UK,Supplier
V0797,National Logistics,Qatar,Supplier
V0798,Elite Systems,Saudi Arabia,Contractor
V0799,Vertex Holdings,Germany,Contractor
V0800,NextGen Enterprises,UAE,Supplier
V0801,Vertex Systems,Saudi Arabia,Contractor
V0802,Prime Logistics,International,Contractor
V0803,Advanced Industries,Australia,Supplier
V0804,Universal Systems,UAE,Contractor
V0805,Future Solutions,South Korea,Supplier
V0806,Prime Logistics,India,Supplier
V0807,Infinity Services,Saudi Arabia,Contractor
V0808,Future Group,UAE,Supplier
V0809,Apex Solutions,France,Contractor
V0810,Vertex Systems,Japan,Supplier
V0811,Universal International,Germany,Contractor
V0812,Infinity Logistics,Australia,Contractor
V0813,Vertex Enterprises,France,Contractor
V0814,Prime Industries,Australia,Supplier
V0815,Nova Enterprises,Turkey,Contractor
V0816,Future Engineering,Qatar,Supplier
V0817,NextGen Engineering,International,Contractor
V0818,United Engineering,Turkey,Contractor
V0819,National Logistics,France,Contractor
V0820,Dynamic Corporation,UAE,Supplier
V0821,Vertex Industries,Singapore,Contractor
V0822,United Group,Germany,Supplier
V0823,National Technologies,South Korea,Contractor
V0824,United Industries,India,Contractor
V0825,Atlas Group,Saudi Arabia,Supplier
V0826,Apex Systems,South Korea,Contractor
V0827,Universal Enterprises,UAE,Contractor
V0828,National Engineering,South Korea,Contractor
V0829,Future International,Netherlands,Contractor
V0830,Future Technologies,Japan,Contractor
V0831,Pioneer Systems,UAE,Contractor
V0832,United Services,Australia,Contractor
V0833,Infinity Solutions,Germany,Supplier
V0834,Infinity Industries,Japan,Contractor
V0835,National Technologies,Spain,Supplier
V0836,Future Holdings,Australia,Supplier
V0837,Vertex Industries,India,Supplier
V0838,Prime Systems,Singapore,Supplier
V0839,Global Industries,Italy,Contractor
V0840,Apex International,China,Supplier
V0841,Future Solutions,France,Supplier
V0842,United Logistics,Saudi Arabia,Contractor
V0843,Dynamic Logistics,Netherlands,Supplier
V0844,Elite Enterprises,Singapore,Supplier
V0845,NextGen Holdings,France,Supplier
V0846,Prime Group,France,Supplier
V0847,Universal Corporation,Spain,Contractor
V0848,Pioneer Industries,Singapore,Contractor
V0849,Atlas Holdings,India,Supplier
V0850,Pioneer Services,Malaysia,Supplier
V0851,Apex International,USA,Supplier
V0852,Apex Engineering,UAE,Supplier
V0853,Elite Engineering,Malaysia,Contractor
V0854,United Engineering,Australia,Supplier
V0855,Apex Enterprises,India,Supplier
V0856,NextGen Solutions,Malaysia,Supplier
V0857,Nova International,Italy,Supplier
V0858,Infinity Engineering,India,Supplier
V0859,Universal Industries,Qatar,Contractor
V0860,Elite Group,UAE,Supplier
V0861,Prime Enterprises,South Korea,Contractor
V0862,Prime Enterprises,France,Supplier
V0863,Infinity Services,Netherlands,Contractor
V0864,Vertex Services,Spain,Contractor
V0865,United Technologies,Italy,Supplier
V0866,National Technologies,China,Contractor
V0867,Global Industries,USA,Supplier
V0868,National Corporation,UAE,Contractor
V0869,Future Technologies,USA,Supplier
V0870,Vertex Enterprises,Canada,Contractor
V0871,Universal Group,Qatar,Contractor
V0872,Prime Technologies,Australia,Contractor
V0873,Advanced Corporation,Japan,Contractor
V0874,Prime Technologies,Germany,Supplier
V0875,National Corporation,International,Contractor
V0876,National Enterprises,China,Supplier
V0877,Global Logistics,Singapore,Contractor
V0878,Universal International,France,Supplier
V0879,Universal Technologies,Qatar,Supplier
V0880,Apex Industries,Singapore,Supplier
V0881,Atlas Group,France,Contractor
V0882,Infinity Systems,Malaysia,Contractor
V0883,Infinity Corporation,USA,Supplier
V0884,United Holdings,Netherlands,Contractor
V0885,Nova Holdings,UK,Contractor
V0886,United Engineering,India,Contractor
V0887,Universal International,South Korea,Supplier
V0888,Atlas Engineering,China,Contractor
V0889,Infinity Logistics,International,Contractor
V0890,United Corporation,Qatar,Contractor
V0891,United Industries,India,Contractor
V0892,Infinity Group,India,Supplier
V0893,Vertex Group,UK,Contractor
V0894,Prime Group,Spain,Supplier
V0895,Apex Logistics,Malaysia,Supplier
V0896,Elite Enterprises,UAE,Supplier
V0897,Apex Solutions,Spain,Contractor
V0898,Future Holdings,Netherlands,Contractor
V0899,Advanced International,Singapore,Contractor
V0900,Pioneer Corporation,Turkey,Supplier
V0901,Universal Group,France,Supplier
V0902,Future Group,Germany,Contractor
V0903,National Logistics,USA,Supplier
V0904,Vertex Logistics,UAE,Supplier
V0905,National Technologies,Australia,Supplier
V0906,National Group,International,Supplier
V0907,Apex Solutions,UAE,Supplier
V0908,Infinity Systems,Netherlands,Contractor
V0909,Apex Technologies,Singapore,Contractor
V0910,Nova Systems,China,Contractor
V0911,Atlas International,South Korea,Contractor
V0912,Universal International,Malaysia,Supplier
V0913,Elite Logistics,Netherlands,Supplier
V0914,Apex Systems,Turkey,Supplier
V0915,Advanced Corporation,Turkey,Supplier
V0916,Universal Industries,China,Supplier
V0917,National Services,Canada,Supplier
V0918,Global Corporation,UK,Contractor
V0919,Vertex Group,Singapore,Supplier
V0920,Vertex Industries,Turkey,Contractor
V0921,Global Enterprises,India,Contractor
V0922,Nova Systems,UK,Contractor
V0923,Apex Services,Canada,Contractor
V0924,Global Corporation,France,Supplier
V0925,Apex Technologies,Germany,Contractor
V0926,NextGen Corporation,France,Supplier
V0927,Vertex Corporation,India,Contractor
V0928,National Technologies,Singapore,Contractor
V0929,Universal Group,Italy,Supplier
V0930,Pioneer Industries,Australia,Contractor
V0931,Nova Technologies,India,Supplier
V0932,Infinity Corporation,Malaysia,Contractor
V0933,United Logistics,Japan,Contractor
V0934,Infinity Systems,China,Contractor
V0935,Universal Technologies,Spain,Contractor
V0936,Future Engineering,China,Contractor
V0937,Global Group,France,Contractor
V0938,Prime Logistics,Australia,Supplier
V0939,Atlas International,Japan,Contractor
V0940,Infinity Corporation,Qatar,Contractor
V0941,Infinity Corporation,International,Supplier
V0942,Universal Enterprises,Turkey,Supplier
V0943,Advanced Solutions,Saudi Arabia,Contractor
V0944,Atlas Holdings,Germany,Contractor
V0945,Universal Holdings,South Korea,Supplier
V0946,Pioneer Logistics,Spain,Contractor
V0947,Vertex International,India,Contractor
V0948,NextGen Systems,China,Supplier
V0949,Global Solutions,Germany,Supplier
V0950,Future Holdings,Malaysia,Supplier
V0951,NextGen Services,UAE,Supplier
V0952,United Corporation,UAE,Supplier
V0953,Vertex Systems,Australia,Supplier
V0954,Pioneer Corporation,Qatar,Supplier
V0955,Nova International,USA,Supplier
V0956,Dynamic Services,Japan,Contractor
V0957,Prime Engineering,Japan,Supplier
V0958,NextGen Solutions,International,Supplier
V0959,Prime Industries,UK,Supplier
V0960,Advanced Systems,Netherlands,Supplier
V0961,Infinity Systems,South Korea,Contractor
V0962,Elite Corporation,Malaysia,Contractor
V0963,Pioneer Technologies,Saudi Arabia,Contractor
V0964,Infinity Holdings,Singapore,Contractor
V0965,NextGen Engineering,India,Contractor
V0966,Advanced Solutions,France,Contractor
V0967,Vertex Technologies,Germany,Supplier
V0968,United Industries,India,Contractor
V0969,Vertex Services,Saudi Arabia,Contractor
V0970,Global Engineering,Canada,Contractor
V0971,United Engineering,Qatar,Contractor
V0972,NextGen Holdings,India,Contractor
V0973,Advanced Corporation,Italy,Contractor
V0974,Pioneer Services,UK,Contractor
V0975,Pioneer Engineering,Turkey,Supplier
V0976,NextGen Logistics,Qatar,Contractor
V0977,National Enterprises,Singapore,Contractor
V0978,Dynamic Engineering,Canada,Supplier
V0979,Future Group,Germany,Supplier
V0980,Vertex Group,Spain,Supplier
V0981,Apex Systems,Germany,Supplier
V0982,Elite Solutions,Australia,Contractor
V0983,Vertex Solutions,Spain,Contractor
V0984,Pioneer Services,Spain,Contractor
V0985,Advanced Services,Japan,Supplier
V0986,Prime Technologies,France,Contractor
V0987,Advanced Engineering,Spain,Supplier
V0988,United Enterprises,UK,Supplier
V0989,National International,India,Contractor
V0990,NextGen Technologies,International,Contractor
V0991,Atlas Engineering,International,Supplier
V0992,National Solutions,Australia,Supplier
V0993,Advanced Technologies,International,Supplier
V0994,Universal Group,Germany,Supplier
V0995,Global Holdings,UK,Contractor
V0996,Elite Corporation,Qatar,Supplier
V0997,Dynamic Industries,Turkey,Supplier
V0998,United Enterprises,Saudi Arabia,Contractor
V0999,United Engineering,Saudi Arabia,Contractor
V1000,Pioneer Services,China,Supplier
V1001,Apex International,Turkey,Supplier
V1002,Dynamic Engineering,India,Contractor
V1003,National Engineering,Australia,Contractor
V1004,Atlas Solutions,Saudi Arabia,Supplier
V1005,Advanced Corporation,Germany,Contractor
V1006,United Systems,UAE,Supplier
V1007,Vertex Corporation,South Korea,Contractor
V1008,United Engineering,France,Supplier
V1009,Future Engineering,UAE,Supplier
V1010,Advanced Services,Malaysia,Contractor
V1011,Apex Corporation,France,Supplier
V1012,Apex Group,Spain,Supplier
V1013,Infinity Holdings,China,Contractor
V1014,NextGen Systems,Canada,Contractor
V1015,NextGen Services,Saudi Arabia,Contractor
V1016,Universal International,Malaysia,Supplier
V1017,NextGen Logistics,Singapore,Contractor
V1018,Vertex Enterprises,Canada,Supplier
V1019,Global Technologies,France,Supplier
V1020,Pioneer Industries,Japan,Supplier
V1021,Atlas Holdings,Australia,Supplier
V1022,Dynamic Holdings,USA,Supplier
V1023,NextGen Engineering,Turkey,Contractor
V1024,Dynamic Solutions,Italy,Contractor
V1025,Dynamic Corporation,UK,Supplier
V1026,Universal Logistics,Spain,Contractor
V1027,NextGen Engineering,Italy,Contractor
V1028,Prime Group,France,Contractor
V1029,NextGen Industries,Japan,Supplier
V1030,Infinity Enterprises,Japan,Supplier
V1031,Pioneer Engineering,Qatar,Contractor
V1032,Global Engineering,Malaysia,Contractor
V1033,Universal Group,Japan,Contractor
V1034,Future International,USA,Contractor
V1035,Vertex Holdings,Japan,Contractor
V1036,Dynamic Systems,Saudi Arabia,Supplier
V1037,NextGen Holdings,Singapore,Contractor
V1038,Future Engineering,UAE,Supplier
V1039,Pioneer Industries,Singapore,Contractor
V1040,Prime Holdings,India,Supplier
V1041,Advanced International,France,Contractor
V1042,Nova Industries,UK,Supplier
V1043,Infinity Corporation,International,Supplier
V1044,Advanced Logistics,Germany,Contractor
V1045,Advanced Logistics,International,Contractor
V1046,NextGen Group,Canada,Contractor
V1047,Global Solutions,Australia,Contractor
V1048,Infinity Engineering,India,Contractor
V1049,Dynamic Holdings,China,Supplier
V1050,Infinity Technologies,Qatar,Supplier
V1051,Infinity Technologies,Netherlands,Supplier
V1052,Advanced Logistics,UAE,Contractor
V1053,Infinity Group,Netherlands,Contractor
V1054,National Services,Italy,Supplier
V1055,Infinity Group,UK,Contractor
V1056,Elite Engineering,UAE,Supplier
V1057,National Holdings,India,Supplier
V1058,Advanced Engineering,International,Contractor
V1059,Advanced Services,Singapore,Contractor
V1060,National Enterprises,Germany,Contractor
V1061,Dynamic Technologies,Saudi Arabia,Contractor
V1062,Prime Logistics,South Korea,Supplier
V1063,United Technologies,UK,Contractor
V1064,Dynamic Engineering,Turkey,Supplier
V1065,Advanced Logistics,Qatar,Supplier
V1066,Elite Holdings,Qatar,Supplier
V1067,Prime International,UK,Contractor
V1068,United Services,Canada,Supplier
V1069,Advanced Holdings,France,Contractor
V1070,Elite Engineering,UK,Contractor
V1071,Atlas Enterprises,India,Contractor
V1072,Universal Holdings,Turkey,Contractor
V1073,Global Systems,Malaysia,Contractor
V1074,NextGen Enterprises,UAE,Supplier
V1075,Global International,India,Contractor
V1076,Universal International,Canada,Supplier
V1077,Universal Solutions,Canada,Supplier
V1078,Apex Systems,Saudi Arabia,Contractor
V1079,Dynamic Group,International,Contractor
V1080,Infinity Group,Italy,Supplier
V1081,Vertex Enterprises,Turkey,Contractor
V1082,NextGen Logistics,Malaysia,Contractor
V1083,National Corporation,Australia,Supplier
V1084,Future Engineering,Qatar,Contractor
V1085,Nova Services,UK,Contractor
V1086,Pioneer Solutions,UAE,Supplier
V1087,Atlas Holdings,Netherlands,Supplier
V1088,National Corporation,Netherlands,Supplier
V1089,Prime Logistics,China,Contractor
V1090,Global Technologies,UK,Supplier
V1091,Elite Engineering,Australia,Contractor
V1092,Apex Corporation,Italy,Supplier
V1093,National Engineering,Italy,Contractor
V1094,Infinity Solutions,France,Contractor
V1095,Atlas Systems,International,Contractor
V1096,Apex Systems,India,Contractor
V1097,Pioneer Holdings,Turkey,Contractor
V1098,NextGen Holdings,Japan,Contractor
V1099,Global Solutions,USA,Supplier
V1100,Advanced Logistics,China,Supplier
V1101,Prime Holdings,Saudi Arabia,Supplier
V1102,Elite Holdings,USA,Supplier
V1103,Nova Logistics,Qatar,Supplier
V1104,Global Technologies,France,Contractor
V1105,United Services,Saudi Arabia,Supplier
V1106,Universal Industries,USA,Contractor
V1107,Infinity Industries,Italy,Supplier
V1108,Global Holdings,Germany,Contractor
V1109,Atlas Group,Netherlands,Contractor
V1110,Nova Corporation,China,Contractor
V1111,Apex Industries,Germany,Contractor
V1112,Vertex Systems,Singapore,Supplier
V1113,Vertex Systems,Netherlands,Supplier
V1114,Dynamic Solutions,Italy,Contractor
V1115,United International,Singapore,Contractor
V1116,Vertex Logistics,Spain,Contractor
V1117,National Solutions,Canada,Contractor
V1118,United Solutions,Australia,Supplier
V1119,Future International,Netherlands,Supplier
V1120,Dynamic Services,International,Supplier
V1121,Vertex Systems,South Korea,Contractor
V1122,National Corporation,Italy,Supplier
V1123,Pioneer Services,UAE,Supplier
V1124,Nova Solutions,UK,Supplier
V1125,United Holdings,UAE,Contractor
V1126,Prime Technologies,UK,Contractor
V1127,National Industries,Japan,Supplier
V1128,Elite Holdings,Spain,Supplier
V1129,Infinity Industries,Spain,Supplier
V1130,National Group,Turkey,Supplier
V1131,Elite Systems,Singapore,Contractor
V1132,Global Technologies,Turkey,Supplier
V1133,Infinity Services,Japan,Contractor
V1134,Pioneer International,China,Supplier
V1135,Elite Services,Singapore,Contractor
V1136,Pioneer Logistics,Saudi Arabia,Contractor
V1137,Pioneer Systems,Malaysia,Supplier
V1138,National Services,Saudi Arabia,Supplier
V1139,NextGen Systems,USA,Contractor
V1140,Pioneer Technologies,South Korea,Contractor
V1141,United Enterprises,UAE,Supplier
V1142,NextGen Technologies,Germany,Supplier
V1143,Advanced Technologies,Italy,Supplier
V1144,NextGen Enterprises,Australia,Contractor
V1145,Vertex Corporation,Singapore,Supplier
V1146,Vertex Systems,South Korea,Supplier
V1147,Advanced Enterprises,Saudi Arabia,Contractor
V1148,Global Holdings,China,Contractor
V1149,Future Holdings,USA,Contractor
V1150,Apex Industries,UK,Contractor
V1151,Atlas Solutions,UK,Contractor
V1152,NextGen Enterprises,Saudi Arabia,Supplier
V1153,Universal Technologies,China,Supplier
V1154,Vertex Engineering,Singapore,Supplier
V1155,Nova Corporation,Germany,Supplier
V1156,Global Solutions,Germany,Supplier
V1157,NextGen Corporation,Singapore,Contractor
V1158,NextGen Technologies,Canada,Contractor
V1159,Elite International,Netherlands,Supplier
V1160,Vertex Technologies,Italy,Contractor
V1161,Global Corporation,Qatar,Contractor
V1162,Future Corporation,Australia,Supplier
V1163,Advanced Solutions,Malaysia,Contractor
V1164,Advanced Corporation,China,Supplier
V1165,Advanced Systems,International,Contractor
V1166,Advanced Holdings,Netherlands,Contractor
V1167,Vertex Solutions,USA,Contractor
V1168,Advanced Services,USA,Supplier
V1169,Universal International,UK,Contractor
V1170,National Corporation,Germany,Contractor
V1171,Vertex Logistics,Germany,Contractor
V1172,Universal Logistics,Malaysia,Supplier
V1173,Atlas Logistics,International,Supplier
V1174,Advanced Group,Germany,Supplier
V1175,Advanced Systems,Qatar,Supplier
V1176,Atlas Industries,UAE,Supplier
V1177,National Technologies,France,Supplier
V1178,Nova Corporation,Spain,Supplier
V1179,National Services,China,Supplier
V1180,Pioneer Services,Japan,Supplier
V1181,Prime International,Qatar,Contractor
V1182,National Logistics,Netherlands,Contractor
V1183,NextGen Services,Canada,Supplier
V1184,Future Technologies,Canada,Contractor
V1185,National Enterprises,Saudi Arabia,Contractor
V1186,National Services,UK,Supplier
V1187,National Solutions,Qatar,Supplier
V1188,Prime Systems,Saudi Arabia,Contractor
V1189,Dynamic Services,India,Contractor
V1190,Apex Industries,Qatar,Supplier
V1191,Atlas Logistics,Spain,Supplier
V1192,National Systems,Saudi Arabia,Contractor
V1193,Vertex Holdings,Singapore,Supplier
V1194,Prime Industries,Malaysia,Contractor
V1195,Apex Technologies,Qatar,Supplier
V1196,Universal Solutions,Malaysia,Supplier
V1197,Universal Systems,Turkey,Supplier
V1198,Advanced Industries,UAE,Supplier
V1199,Universal Enterprises,USA,Supplier
V1200,Elite Holdings,Qatar,Contractor
V1201,United Holdings,China,Contractor
V1202,Apex Corporation,Singapore,Supplier
V1203,Universal Engineering,Spain,Contractor
V1204,United Solutions,Saudi Arabia,Supplier
V1205,Prime Corporation,Australia,Supplier
V1206,Future Technologies,South Korea,Contractor
V1207,Elite Services,UAE,Supplier
V1208,United International,USA,Contractor
V1209,Atlas Solutions,UAE,Supplier
V1210,Pioneer Holdings,USA,Supplier
V1211,Elite Group,UAE,Contractor
V1212,United Engineering,Qatar,Supplier
V1213,Dynamic Technologies,Canada,Supplier
V1214,Apex Holdings,Turkey,Supplier
V1215,Global Engineering,UAE,Contractor
V1216,United Holdings,India,Supplier
V1217,Universal Systems,Germany,Contractor
V1218,Infinity Logistics,Malaysia,Contractor
V1219,Pioneer International,Japan,Supplier
V1220,Universal Logistics,UAE,Contractor
V1221,Dynamic Corporation,Singapore,Contractor
V1222,NextGen Technologies,Saudi Arabia,Supplier
V1223,Atlas Enterprises,Spain,Contractor
V1224,Pioneer Holdings,Saudi Arabia,Supplier
V1225,National Enterprises,China,Contractor
V1226,Advanced Holdings,Turkey,Contractor
V1227,Vertex Industries,International,Contractor
V1228,National Solutions,International,Supplier
V1229,Elite Engineering,France,Contractor
V1230,Universal Technologies,Turkey,Supplier
V1231,Nova Engineering,Saudi Arabia,Contractor
V1232,Universal Enterprises,Saudi Arabia,Supplier
V1233,Universal Corporation,Italy,Contractor
V1234,Atlas Industries,Japan,Supplier
V1235,Pioneer Group,Turkey,Supplier
V1236,Advanced International,Turkey,Contractor
V1237,National Corporation,Turkey,Contractor
V1238,NextGen Corporation,France,Supplier
V1239,Nova Logistics,India,Contractor
V1240,Pioneer Technologies,Australia,Contractor
V1241,Apex Industries,UAE,Supplier
V1242,Future Technologies,Canada,Supplier
V1243,Apex Holdings,China,Supplier
V1244,Elite Technologies,UAE,Supplier
V1245,Vertex Holdings,India,Contractor
V1246,Atlas Logistics,Netherlands,Contractor
V1247,Pioneer Group,India,Contractor
V1248,Nova Corporation,Canada,Supplier
V1249,Future Services,International,Supplier
V1250,Advanced International,Japan,Supplier
V1251,Atlas Technologies,Netherlands,Supplier
V1252,Nova International,Canada,Supplier
V1253,Pioneer Group,Australia,Supplier
V1254,Universal Holdings,Singapore,Contractor
V1255,Elite Engineering,Spain,Supplier
V1256,Elite Technologies,Turkey,Contractor
V1257,Future Industries,International,Supplier
V1258,Advanced Logistics,India,Supplier
V1259,Pioneer Services,Turkey,Contractor
V1260,Infinity Holdings,International,Supplier
V1261,Pioneer Holdings,Australia,Contractor
V1262,Elite Technologies,Turkey,Contractor
V1263,Prime Technologies,International,Contractor
V1264,National Engineering,Netherlands,Contractor
V1265,Infinity Logistics,Singapore,Contractor
V1266,Advanced Engineering,Japan,Supplier
V1267,NextGen Technologies,Qatar,Supplier
V1268,Atlas Technologies,Singapore,Contractor
V1269,Vertex Technologies,UK,Supplier
V1270,Apex Enterprises,South Korea,Contractor
V1271,Nova Technologies,Spain,Supplier
V1272,NextGen Logistics,International,Contractor
V1273,Apex Holdings,France,Supplier
V1274,Vertex Enterprises,USA,Contractor
V1275,Pioneer Holdings,Japan,Supplier
V1276,Dynamic Systems,Malaysia,Contractor
V1277,United Services,India,Supplier
V1278,Atlas Logistics,Netherlands,Contractor
V1279,Advanced Solutions,India,Contractor
V1280,Dynamic Technologies,Qatar,Supplier
V1281,Vertex Corporation,France,Contractor
V1282,Elite International,South Korea,Supplier
V1283,Infinity Solutions,Spain,Supplier
V1284,Apex Solutions,France,Supplier
V1285,Advanced Solutions,UAE,Contractor
V1286,NextGen Enterprises,USA,Contractor
V1287,Dynamic Services,China,Contractor
V1288,Pioneer Services,India,Supplier
V1289,Elite Solutions,Saudi Arabia,Supplier
V1290,Pioneer Group,Netherlands,Supplier
V1291,Infinity International,Japan,Contractor
V1292,NextGen International,USA,Contractor
V1293,Atlas Industries,UAE,Supplier
V1294,Elite International,Malaysia,Supplier
V1295,Apex Enterprises,UAE,Supplier
V1296,Global Systems,Canada,Contractor
V1297,NextGen Engineering,Australia,Supplier
V1298,Vertex Corporation,India,Contractor
V1299,Nova Engineering,USA,Supplier
V1300,Pioneer Group,UK,Supplier
V1301,Infinity Services,Germany,Supplier
V1302,Elite Solutions,Turkey,Contractor
V1303,Dynamic Enterprises,Japan,Contractor
V1304,Pioneer Logistics,Australia,Contractor
V1305,Apex Solutions,Singapore,Supplier
V1306,NextGen International,USA,Contractor
V1307,National Technologies,Spain,Supplier
V1308,Vertex Enterprises,International,Supplier
V1309,Pioneer Group,International,Supplier
V1310,Atlas Logistics,Germany,Supplier
V1311,Future International,Canada,Supplier
V1312,Future Engineering,India,Supplier
V1313,United Engineering,Canada,Contractor
V1314,United Enterprises,Turkey,Contractor
V1315,Apex Group,UK,Supplier
V1316,Infinity Industries,Germany,Contractor
V1317,Pioneer Holdings,Malaysia,Supplier
V1318,Atlas Technologies,China,Contractor
V1319,Nova International,Saudi Arabia,Contractor
V1320,Advanced Technologies,India,Supplier
V1321,Atlas Services,Qatar,Supplier
V1322,Future Holdings,Spain,Contractor
V1323,National International,Qatar,Supplier
V1324,Global Industries,International,Supplier
V1325,Prime Technologies,International,Contractor
V1326,Universal Logistics,Netherlands,Contractor
V1327,Pioneer Engineering,Spain,Supplier
V1328,Vertex Engineering,China,Contractor
V1329,Nova Engineering,Qatar,Contractor
V1330,Vertex Technologies,Canada,Contractor
V1331,Dynamic Corporation,Qatar,Supplier
V1332,NextGen International,Spain,Supplier
V1333,Elite Corporation,Malaysia,Contractor
V1334,Pioneer Engineering,Italy,Supplier
V1335,Prime Logistics,Singapore,Supplier
V1336,Nova Engineering,Japan,Supplier
V1337,Atlas Engineering,Spain,Contractor
V1338,Nova International,UAE,Supplier
V1339,Future Industries,Canada,Supplier
V1340,Infinity Industries,Singapore,Contractor
V1341,Pioneer Systems,Japan,Supplier
V1342,NextGen Industries,UK,Contractor
V1343,Universal Services,Saudi Arabia,Contractor
V1344,Nova Solutions,South Korea,Supplier
V1345,Atlas Logistics,Germany,Supplier
V1346,Infinity Technologies,Australia,Supplier
V1347,National International,India,Supplier
V1348,Future Group,Netherlands,Supplier
V1349,NextGen Technologies,Germany,Contractor
V1350,Pioneer Holdings,Italy,Contractor
V1351,United Services,Australia,Contractor
